service_unit_key;Codigo Unidad Servicio;Unidad Servicio;Estado UDS
420;500100135200;LOS PEQUEÑOS GLOTONCITOS;ACTIVA
421;50011111910;LAS FLORECITAS;ACTIVA
422;50011114987;LOS PITUFOS 9;ACTIVA
423;50011115086;CARITAS ALEGRES 5;ACTIVA
424;50011115136;LOS PINGUINOS 2;ACTIVA
425;50011116478;GOTICAS ALEGRES;ACTIVA
426;50011116589;LAS FRESITAS;ACTIVA
427;50011116595;FLORECITAS DEL CAMPO;ACTIVA
428;50011116619;LOS LORITOS;ACTIVA
429;50011116625;LOS POLLITOS;ACTIVA
430;50011116716;LOS POLLITOS;ACTIVA
431;50011116725;COPITO DE NIEVE;ACTIVA
432;50011116731;LOS CHIQUITINES;ACTIVA
433;50011118083;FLORECITAS DEL CAMPO;ACTIVA
434;50011120213;LA ESPERANZA;ACTIVA
435;50011120344;CARRUSEL DE LA ALEGRIA;ACTIVA
436;50011120943;CI ARCO IRIS CAMPO VALDES;ACTIVA
437;50011121201;DUBUJITOS Y COLORES;ACTIVA
438;50011121978;PERSONITAS DEL MAÑANA I;ACTIVA
439;50011122273;LOS PAYASOS;ACTIVA
440;50011123127;LOS PIOLINES;ACTIVA
441;50011131968;MIS ALTURAS;ACTIVA
442;50011132334;LOS PRECIOSOS;ACTIVA
443;50011137190;LOS GENIOS;ACTIVA
444;50011139121;CI LA AVENTURA DE CRECER;ACTIVA
445;50011148694;CI EXPLORADORES DE SUEÑOS MANRIQUE CENTRAL;ACTIVA
446;50011150976;CI HNAS MISIONERAS VILLA GUADALUPE;ACTIVA
447;50011151012;CI CORAZONES SOLIDARIOS DOS;ACTIVA
448;50011151013;CI MANITAS LIBRES;ACTIVA
449;50011152731;CI TRAVESURAS;ACTIVA
450;50011154518;CI SAN CAYETANO;ACTIVA
451;50011160786;CI CHISPITAS;ACTIVA
452;500100020315;TRICENTENARIO;ACTIVA
453;500100022714;LA SONRISA DEL NIÑO 2;ACTIVA
454;500100022789;LOS CARIÑOSITOS;ACTIVA
455;500100024147;LAS TORTUGAS TRAVIESAS;ACTIVA
456;500100024173;LAS FLORECITAS;ACTIVA
457;500100024213;EL JARDIN;ACTIVA
458;500100024253;LA CASITA ENCANTADA;ACTIVA
459;500100024302;PEQUEÑAS CRIATURAS;ACTIVA
460;500100024521;OSITOS CARIÑOSITOS;ACTIVA
461;500100024727;VIKINGOS;ACTIVA
462;500100025061;MANITAS CREATIVAS;ACTIVA
463;500100025087;CORAZONCITOS ADORADOS;ACTIVA
464;500100025393;PAYASITOS ALEGRES;ACTIVA
465;500100025813;LA PEQUEÑA LULU;ACTIVA
466;500100027024;MI RANCHITO;ACTIVA
467;500100027026;EL SEMILLERO;ACTIVA
468;500100027120;CARITA DE ANGEL;ACTIVA
469;500100027267;LOS POLLUELOS;ACTIVA
470;500100027472;MIS PEQUEÑOS PONYS;ACTIVA
471;500100027519;MUÑECOS DE MIEL;ACTIVA
472;500100027722;FUTURAS ESTRELLAS;ACTIVA
473;500100027747;TRAVIESOS NO 2;ACTIVA
474;500100028005;LOS PINOCHITOS;ACTIVA
475;500100028879;LA TERNURA DE LOS NIÑOS;ACTIVA
476;500100029878;FANTASIA Y TERNURA;ACTIVA
477;500100030004;BLANCA NIEVES;ACTIVA
478;500100030065;RICURAS;ACTIVA
479;500100030148;MI REBAÑITO;ACTIVA
480;500100030253;PAYASITOS;ACTIVA
481;500100030286;HOMBRES DEL FUTURO;ACTIVA
482;500100030375;JUAN XXIII;ACTIVA
483;500100031059;MIS PRIMEROS AÑOS;ACTIVA
484;500100031284;DIVINO NIÑO;ACTIVA
485;500100031358;MIS VENADITOS;ACTIVA
486;500100031426;CARITAS SONRIENTES;ACTIVA
487;500100031506;BOSQUE ENCANTADO;ACTIVA
488;500100031671;MUÑECOS DE PAPEL;ACTIVA
489;500100031711;PEQUEÑOS TRAVIESOS;ACTIVA
490;500100031731;EL CLUB DE LA FAMILIA;ACTIVA
491;500100031850;FUTURO DE HOY MAÑANA Y SIEMPRE;ACTIVA
492;500100031874;NUEVA GENERACION;ACTIVA
493;500100031936;LOS PEQUEÑOS LORITOS;ACTIVA
494;500100032310;LOS PITUFOS 7;ACTIVA
495;500100032470;TOPOYIYOS;ACTIVA
496;500100033035;LA ALEGRIA DE VIVIR;ACTIVA
497;500100033045;CAPULLITOS;ACTIVA
498;500100033059;LAS GEMELAS;ACTIVA
499;500100033076;CARIÑOSITOS;ACTIVA
500;500100033132;LAS TRAVESURAS;ACTIVA
501;500100033137;DELFIN N2;ACTIVA
502;500100033208;PETETE;ACTIVA
503;500100033217;DELFIN N1;ACTIVA
504;500100037110;LOS POLLITOS;ACTIVA
505;500100037666;PEQUEÑINES;ACTIVA
506;500100037793;NUEVOS HORIZONTES;ACTIVA
507;500100038745;MIS CACHORROS;ACTIVA
508;500100039193;NUBECITAS DE COLORES;ACTIVA
